time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-03T00:00:00Z,0.3,0.3
2026-01-03T01:00:00Z,0.6,0.6
2026-01-03T02:00:00Z,0.1,0.1
2026-01-03T03:00:00Z,0.1,0.1
2026-01-03T04:00:00Z,0,0
2026-01-03T05:00:00Z,0,0
2026-01-03T06:00:00Z,0,0
2026-01-03T07:00:00Z,0,0
2026-01-03T08:00:00Z,0,0
2026-01-03T09:00:00Z,0,0
2026-01-03T10:00:00Z,0,0
2026-01-03T11:00:00Z,0,0
2026-01-03T12:00:00Z,0,0
2026-01-03T13:00:00Z,0,0
2026-01-03T14:00:00Z,0,0
2026-01-03T15:00:00Z,0,0
2026-01-03T16:00:00Z,0,0
2026-01-03T17:00:00Z,0,0
2026-01-03T18:00:00Z,0,0
2026-01-03T19:00:00Z,0.1,0.1
2026-01-03T20:00:00Z,0.1,0.1
2026-01-03T21:00:00Z,0.2,0.2
2026-01-03T22:00:00Z,0.1,0.1
2026-01-03T23:00:00Z,0,0
2026-01-04T00:00:00Z,0,0
2026-01-04T01:00:00Z,0,0
2026-01-04T02:00:00Z,0.1,0.1
2026-01-04T03:00:00Z,0.2,0.2
2026-01-04T04:00:00Z,0,0
2026-01-04T05:00:00Z,0,0
2026-01-04T06:00:00Z,0,0
2026-01-04T07:00:00Z,0,0
2026-01-04T08:00:00Z,0,0
2026-01-04T09:00:00Z,0,0
2026-01-04T10:00:00Z,0.2,0.2
2026-01-04T11:00:00Z,0,0
2026-01-04T12:00:00Z,0,0
2026-01-04T13:00:00Z,0,0
2026-01-04T14:00:00Z,0,0
2026-01-04T15:00:00Z,0,0
2026-01-04T16:00:00Z,0,0
2026-01-04T17:00:00Z,0,0
2026-01-04T18:00:00Z,0,0
2026-01-04T19:00:00Z,0,0
2026-01-04T20:00:00Z,0,0
2026-01-04T21:00:00Z,0,0
2026-01-04T22:00:00Z,0,0
2026-01-04T23:00:00Z,0,0
2026-01-05T00:00:00Z,0.1,0.1
2026-01-05T01:00:00Z,8.8,12.4
2026-01-05T02:00:00Z,21,28.5
2026-01-05T03:00:00Z,10.8,14.1
2026-01-05T04:00:00Z,4.8,5.5
2026-01-05T05:00:00Z,19.2,26.5
2026-01-05T06:00:00Z,221.6,329.8
2026-01-05T07:00:00Z,0.1,0.1
2026-01-05T08:00:00Z,0.1,0.1
2026-01-05T09:00:00Z,0.2,0.2
2026-01-05T10:00:00Z,0,0
2026-01-05T11:00:00Z,0,0
2026-01-05T12:00:00Z,0,0
2026-01-05T13:00:00Z,0,0
2026-01-05T14:00:00Z,0,0
2026-01-05T15:00:00Z,0,0
2026-01-05T16:00:00Z,0,0
2026-01-05T17:00:00Z,0,0
2026-01-05T18:00:00Z,0.1,0.1
2026-01-05T19:00:00Z,0.1,0.1
2026-01-05T20:00:00Z,0,0
2026-01-05T21:00:00Z,0,0
2026-01-05T22:00:00Z,0,0
2026-01-05T23:00:00Z,0,0
2026-01-06T00:00:00Z,0,0
2026-01-06T01:00:00Z,0,0
2026-01-06T02:00:00Z,0,0
2026-01-06T03:00:00Z,0,0
2026-01-06T04:00:00Z,0,0
2026-01-06T05:00:00Z,0,0
2026-01-06T06:00:00Z,0,0
2026-01-06T07:00:00Z,0,0
2026-01-06T08:00:00Z,0,0
2026-01-06T09:00:00Z,0,0
2026-01-06T10:00:00Z,0,0
2026-01-06T11:00:00Z,0,0
2026-01-06T12:00:00Z,0,0
2026-01-06T13:00:00Z,0,0
2026-01-06T14:00:00Z,0,0
2026-01-06T15:00:00Z,0,0
2026-01-06T16:00:00Z,0,0
2026-01-06T17:00:00Z,0,0
2026-01-06T18:00:00Z,0.1,0.1
2026-01-06T19:00:00Z,0.1,0.1
2026-01-06T20:00:00Z,0,0
2026-01-06T21:00:00Z,0,0
2026-01-06T22:00:00Z,0,0
2026-01-06T23:00:00Z,0,0
2026-01-07T00:00:00Z,0,0
2026-01-07T01:00:00Z,0,0
2026-01-07T02:00:00Z,0,0
2026-01-07T03:00:00Z,0,0
2026-01-07T04:00:00Z,0,0
2026-01-07T05:00:00Z,0,0
2026-01-07T06:00:00Z,0,0
2026-01-07T07:00:00Z,0,0
2026-01-07T08:00:00Z,0,0
2026-01-07T09:00:00Z,0,0
2026-01-07T10:00:00Z,0,0
2026-01-07T11:00:00Z,0,0
2026-01-07T12:00:00Z,0,0
2026-01-07T13:00:00Z,0,0
2026-01-07T14:00:00Z,0,0
2026-01-07T15:00:00Z,0,0
2026-01-07T16:00:00Z,0,0
2026-01-07T17:00:00Z,0,0
2026-01-07T18:00:00Z,0.1,0.1
2026-01-07T19:00:00Z,0.1,0.1
2026-01-07T20:00:00Z,0.1,0.1
2026-01-07T21:00:00Z,0,0
2026-01-07T22:00:00Z,0,0
2026-01-07T23:00:00Z,0,0
2026-01-08T00:00:00Z,0.1,0.1
2026-01-08T01:00:00Z,0.2,0.2
2026-01-08T02:00:00Z,0.2,0.2
2026-01-08T03:00:00Z,0,0
2026-01-08T04:00:00Z,0,0
2026-01-08T05:00:00Z,0,0
2026-01-08T06:00:00Z,0,0
2026-01-08T07:00:00Z,0.1,0.1
2026-01-08T08:00:00Z,0.8,0.8
2026-01-08T09:00:00Z,0.2,0.2
2026-01-08T10:00:00Z,0,0
2026-01-08T11:00:00Z,0,0
2026-01-08T12:00:00Z,0,0
2026-01-08T13:00:00Z,0,0
2026-01-08T14:00:00Z,0,0
2026-01-08T15:00:00Z,0,0
2026-01-08T16:00:00Z,0.1,0.1
2026-01-08T17:00:00Z,0.5,0.5
2026-01-08T18:00:00Z,0.2,0.2
2026-01-08T19:00:00Z,0.1,0.1
2026-01-08T20:00:00Z,0,0
2026-01-08T21:00:00Z,0,0
2026-01-08T22:00:00Z,0.1,0.1
2026-01-08T23:00:00Z,0,0
2026-01-09T00:00:00Z,0,0
2026-01-09T01:00:00Z,0.1,0.1
2026-01-09T02:00:00Z,0.1,0.1
2026-01-09T03:00:00Z,0.1,0.1
2026-01-09T04:00:00Z,0.1,0.1
2026-01-09T05:00:00Z,0.1,0.1
2026-01-09T06:00:00Z,0,0
2026-01-09T07:00:00Z,0,0
2026-01-09T08:00:00Z,0,0
2026-01-09T09:00:00Z,0,0
2026-01-09T10:00:00Z,0,0
2026-01-09T11:00:00Z,0,0
2026-01-09T12:00:00Z,0,0
2026-01-09T13:00:00Z,0,0
2026-01-09T14:00:00Z,0,0
2026-01-09T15:00:00Z,0,0
2026-01-09T16:00:00Z,0,0
2026-01-09T17:00:00Z,0.3,0.3
2026-01-09T18:00:00Z,0.3,0.3
2026-01-09T19:00:00Z,0.2,0.2
2026-01-09T20:00:00Z,0.1,0.1
2026-01-09T21:00:00Z,0.2,0.2
2026-01-09T22:00:00Z,0.3,0.3
2026-01-09T23:00:00Z,0.2,0.2
2026-01-10T00:00:00Z,0.2,0.2
2026-01-10T01:00:00Z,0.2,0.2
2026-01-10T02:00:00Z,0.1,0.1
2026-01-10T03:00:00Z,0.1,0.1
2026-01-10T04:00:00Z,0.2,0.2
2026-01-10T05:00:00Z,0.2,0.2
2026-01-10T06:00:00Z,0.3,0.3
2026-01-10T07:00:00Z,0.3,0.3
2026-01-10T08:00:00Z,0.1,0.1
2026-01-10T09:00:00Z,0.1,0.1
2026-01-10T10:00:00Z,0.1,0.1
2026-01-10T11:00:00Z,0.1,0.1
2026-01-10T12:00:00Z,0.2,0.2
2026-01-10T13:00:00Z,0.8,0.8
2026-01-10T14:00:00Z,0.3,0.3
2026-01-10T15:00:00Z,0.3,0.3
2026-01-10T16:00:00Z,0.6,0.6
2026-01-10T17:00:00Z,2.7,2.7
2026-01-10T18:00:00Z,4.3,4.3
2026-01-10T19:00:00Z,3.7,3.7
2026-01-10T20:00:00Z,3.2,3.2
2026-01-10T21:00:00Z,2.6,2.6
2026-01-10T22:00:00Z,2.4,2.4
2026-01-10T23:00:00Z,1.6,1.6
2026-01-11T00:00:00Z,2.1,2.1
2026-01-11T01:00:00Z,2.3,2.3
2026-01-11T02:00:00Z,2.2,2.2
2026-01-11T03:00:00Z,2.8,2.8
2026-01-11T04:00:00Z,4.4,4.4
2026-01-11T05:00:00Z,4.5,4.5
2026-01-11T06:00:00Z,5.7,5.7
2026-01-11T07:00:00Z,6.6,6.6
2026-01-11T08:00:00Z,6.2,6.2
2026-01-11T09:00:00Z,6.7,6.7
2026-01-11T10:00:00Z,6.3,6.3
2026-01-11T11:00:00Z,6.4,6.4
2026-01-11T12:00:00Z,6.7,6.7
2026-01-11T13:00:00Z,7.3,7.3
2026-01-11T14:00:00Z,6.3,6.3
2026-01-11T15:00:00Z,4.3,4.3
2026-01-11T16:00:00Z,6.3,6.3
2026-01-11T17:00:00Z,7.5,7.6
2026-01-11T18:00:00Z,10.2,10.2
2026-01-11T19:00:00Z,12.6,12.6
2026-01-11T20:00:00Z,14.1,14.1
2026-01-11T21:00:00Z,15,15
2026-01-11T22:00:00Z,15.1,15.1
2026-01-11T23:00:00Z,15,15
2026-01-12T00:00:00Z,13.6,13.6
2026-01-12T01:00:00Z,12.2,12.2
2026-01-12T02:00:00Z,10.4,10.4
2026-01-12T03:00:00Z,9.9,9.9
2026-01-12T04:00:00Z,12.3,12.3
2026-01-12T05:00:00Z,11.6,11.6
2026-01-12T06:00:00Z,12.4,12.4
2026-01-12T07:00:00Z,13.4,13.4
2026-01-12T08:00:00Z,12.9,12.9
2026-01-12T09:00:00Z,11.2,11.2
2026-01-12T10:00:00Z,10.4,10.4
2026-01-12T11:00:00Z,13.2,13.2
2026-01-12T12:00:00Z,11.3,11.3
2026-01-12T13:00:00Z,9.2,9.2
2026-01-12T14:00:00Z,7.5,7.5
2026-01-12T15:00:00Z,8.1,8.1
2026-01-12T16:00:00Z,8.8,8.8
2026-01-12T17:00:00Z,14.7,14.7
2026-01-12T18:00:00Z,17.4,17.4
2026-01-12T19:00:00Z,22.7,23.4
2026-01-12T20:00:00Z,23.7,24.9
2026-01-12T21:00:00Z,22.6,23.2
2026-01-12T22:00:00Z,20.5,20.6
2026-01-12T23:00:00Z,18.2,18.2
2026-01-13T00:00:00Z,17.2,17.2
2026-01-13T01:00:00Z,14.2,14.2
2026-01-13T02:00:00Z,16,16
2026-01-13T03:00:00Z,15.4,15.4
2026-01-13T04:00:00Z,17.8,17.9
2026-01-13T05:00:00Z,20.8,21.2
2026-01-13T06:00:00Z,10.8,10.8
2026-01-13T07:00:00Z,15,15.4
2026-01-13T08:00:00Z,16.6,16.7
2026-01-13T09:00:00Z,17.1,17.2
2026-01-13T10:00:00Z,9.1,9.1
2026-01-13T11:00:00Z,8.4,8.4
2026-01-13T12:00:00Z,15.2,15.2
2026-01-13T13:00:00Z,14.9,15
2026-01-13T14:00:00Z,11,11
2026-01-13T15:00:00Z,8.1,8.1
2026-01-13T16:00:00Z,8.6,8.6
2026-01-13T17:00:00Z,13.6,13.6
2026-01-13T18:00:00Z,22.4,23.6
2026-01-13T19:00:00Z,26.2,29.6
2026-01-13T20:00:00Z,27.6,32
2026-01-13T21:00:00Z,27,31.1
2026-01-13T22:00:00Z,26,29.5
2026-01-13T23:00:00Z,24.7,27.3
2026-01-14T00:00:00Z,24.1,26.1
2026-01-14T01:00:00Z,21.6,22.4
2026-01-14T02:00:00Z,20.2,20.6
2026-01-14T03:00:00Z,13.9,14
2026-01-14T04:00:00Z,20.4,20.7
2026-01-14T05:00:00Z,21,21.6
2026-01-14T06:00:00Z,22.6,23.5
2026-01-14T07:00:00Z,20.6,21.7
2026-01-14T08:00:00Z,19.8,19.9
2026-01-14T09:00:00Z,20,20.2
2026-01-14T10:00:00Z,18.5,18.6
2026-01-14T11:00:00Z,13.1,13.1
2026-01-14T12:00:00Z,9.4,9.4
2026-01-14T13:00:00Z,3.4,3.4
2026-01-14T14:00:00Z,2.9,2.9
2026-01-14T15:00:00Z,4,4
2026-01-14T16:00:00Z,6.6,6.6
2026-01-14T17:00:00Z,15.6,16
2026-01-14T18:00:00Z,22.4,23.6
2026-01-14T19:00:00Z,26.4,30
2026-01-14T20:00:00Z,24.4,26.7
2026-01-14T21:00:00Z,27.7,32.6
2026-01-14T22:00:00Z,26.7,31.4
2026-01-14T23:00:00Z,21.7,23.3
2026-01-15T00:00:00Z,21.2,22
2026-01-15T01:00:00Z,18.8,19.4
2026-01-15T02:00:00Z,16.9,17
2026-01-15T03:00:00Z,16,16
2026-01-15T04:00:00Z,10.9,10.9
2026-01-15T05:00:00Z,8.1,8.1
2026-01-15T06:00:00Z,8.9,8.9
2026-01-15T07:00:00Z,9.4,9.4
2026-01-15T08:00:00Z,3.4,3.4
2026-01-15T09:00:00Z,2.8,2.8
2026-01-15T10:00:00Z,5.3,5.3
2026-01-15T11:00:00Z,5.1,5.1
2026-01-15T12:00:00Z,2.7,2.7
2026-01-15T13:00:00Z,5.2,5.2
2026-01-15T14:00:00Z,3.6,3.6
2026-01-15T15:00:00Z,9.1,9.1
2026-01-15T16:00:00Z,2.7,2.7
2026-01-15T17:00:00Z,4.4,4.4
2026-01-15T18:00:00Z,20.1,21.2
2026-01-15T19:00:00Z,21.4,22.4
2026-01-15T20:00:00Z,19.9,20.2
2026-01-15T21:00:00Z,19,19.2
2026-01-15T22:00:00Z,20.3,21.4
2026-01-15T23:00:00Z,21.7,22.9
2026-01-16T00:00:00Z,20.7,21.2
2026-01-16T01:00:00Z,5.5,5.5
2026-01-16T02:00:00Z,1.3,1.3
2026-01-16T03:00:00Z,0.8,0.8
2026-01-16T04:00:00Z,1.9,1.9
2026-01-16T05:00:00Z,5.2,5.2
2026-01-16T06:00:00Z,2,2
2026-01-16T07:00:00Z,0.6,0.6
2026-01-16T08:00:00Z,1.7,1.7
2026-01-16T09:00:00Z,1.1,1.1
2026-01-16T10:00:00Z,1.1,1.1
2026-01-16T11:00:00Z,3.2,3.2
2026-01-16T12:00:00Z,5.2,5.2
2026-01-16T13:00:00Z,3.3,3.3
2026-01-16T14:00:00Z,7.1,7.1
2026-01-16T15:00:00Z,2.3,2.3
2026-01-16T16:00:00Z,3.2,3.2
2026-01-16T17:00:00Z,8,8
2026-01-16T18:00:00Z,22.6,24.3
2026-01-16T19:00:00Z,24.4,26.3
2026-01-16T20:00:00Z,20.7,21
2026-01-16T21:00:00Z,18.5,18.5
2026-01-16T22:00:00Z,19.2,19.3
2026-01-16T23:00:00Z,19.5,19.6
2026-01-17T00:00:00Z,20.3,20.4
2026-01-17T01:00:00Z,11.8,11.8
2026-01-17T02:00:00Z,10.8,10.8
2026-01-17T03:00:00Z,10.5,10.5
2026-01-17T04:00:00Z,10.9,10.9
2026-01-17T05:00:00Z,16.4,16.5
2026-01-17T06:00:00Z,14.8,14.9
2026-01-17T07:00:00Z,9.8,9.8
2026-01-17T08:00:00Z,7.9,7.9
2026-01-17T09:00:00Z,4.3,4.3
2026-01-17T10:00:00Z,3.5,3.5
2026-01-17T11:00:00Z,2.6,2.6
2026-01-17T12:00:00Z,2.1,2.1
2026-01-17T13:00:00Z,1.2,1.2
2026-01-17T14:00:00Z,1,1
2026-01-17T15:00:00Z,1.7,1.7
2026-01-17T16:00:00Z,2.2,2.2
2026-01-17T17:00:00Z,6.2,6.2
2026-01-17T18:00:00Z,10,10
2026-01-17T19:00:00Z,9.1,9.1
2026-01-17T20:00:00Z,8.7,8.7
2026-01-17T21:00:00Z,6.9,6.9
2026-01-17T22:00:00Z,5,5
2026-01-17T23:00:00Z,4.4,4.4
2026-01-18T00:00:00Z,4.6,4.6
2026-01-18T01:00:00Z,4,4
2026-01-18T02:00:00Z,4.9,4.9
2026-01-18T03:00:00Z,3.8,3.8
2026-01-18T04:00:00Z,2.6,2.6
2026-01-18T05:00:00Z,0.5,0.5
2026-01-18T06:00:00Z,0.8,0.8
2026-01-18T07:00:00Z,0.3,0.3
2026-01-18T08:00:00Z,0.5,0.5
2026-01-18T09:00:00Z,0.5,0.5
2026-01-18T10:00:00Z,0.7,0.7
2026-01-18T11:00:00Z,0.6,0.6
2026-01-18T12:00:00Z,0.4,0.4
2026-01-18T13:00:00Z,0.4,0.4
2026-01-18T14:00:00Z,0.2,0.2
2026-01-18T15:00:00Z,0.3,0.3
2026-01-18T16:00:00Z,0.4,0.4
2026-01-18T17:00:00Z,3,3
2026-01-18T18:00:00Z,5.7,5.7
2026-01-18T19:00:00Z,4.4,4.4
2026-01-18T20:00:00Z,5.3,5.3
2026-01-18T21:00:00Z,7.2,7.2
2026-01-18T22:00:00Z,7,7
2026-01-18T23:00:00Z,7.3,7.3
2026-01-19T00:00:00Z,7.2,7.2
2026-01-19T01:00:00Z,6.4,6.4
2026-01-19T02:00:00Z,5.7,5.7
2026-01-19T03:00:00Z,6,6
2026-01-19T04:00:00Z,6.6,6.6
2026-01-19T05:00:00Z,5,5
2026-01-19T06:00:00Z,6.2,6.2
2026-01-19T07:00:00Z,3.8,3.8
2026-01-19T08:00:00Z,3.6,3.6
2026-01-19T09:00:00Z,3.2,3.2
2026-01-19T10:00:00Z,2.4,2.4
2026-01-19T11:00:00Z,2,2
2026-01-19T12:00:00Z,3.1,3.1
2026-01-19T13:00:00Z,1.5,1.5
2026-01-19T14:00:00Z,2.3,2.3
2026-01-19T15:00:00Z,1.8,1.8
2026-01-19T16:00:00Z,3.3,3.3
2026-01-19T17:00:00Z,5.4,5.4
2026-01-19T18:00:00Z,9.1,9.1
2026-01-19T19:00:00Z,9.4,9.4
2026-01-19T20:00:00Z,9.9,9.9
2026-01-19T21:00:00Z,8.8,8.8
2026-01-19T22:00:00Z,6.2,6.2
2026-01-19T23:00:00Z,5.3,5.3
2026-01-20T00:00:00Z,5.9,5.9
2026-01-20T01:00:00Z,5.8,5.8
2026-01-20T02:00:00Z,2,2
2026-01-20T03:00:00Z,1.2,1.2
2026-01-20T04:00:00Z,0.5,0.5
2026-01-20T05:00:00Z,0.8,0.8
2026-01-20T06:00:00Z,2.2,2.2
2026-01-20T07:00:00Z,2,2
2026-01-20T08:00:00Z,2.4,2.4
2026-01-20T09:00:00Z,2.8,2.8
2026-01-20T10:00:00Z,2.5,2.5
2026-01-20T11:00:00Z,2.3,2.3
2026-01-20T12:00:00Z,3.1,3.1
2026-01-20T13:00:00Z,4.1,4.1
2026-01-20T14:00:00Z,2.6,2.6
2026-01-20T15:00:00Z,3.4,3.4
2026-01-20T16:00:00Z,4.7,4.7
2026-01-20T17:00:00Z,3.7,3.7
2026-01-20T18:00:00Z,5.2,5.2
2026-01-20T19:00:00Z,7.7,7.7
2026-01-20T20:00:00Z,5,5
2026-01-20T21:00:00Z,5.6,5.6
2026-01-20T22:00:00Z,6.8,6.8
2026-01-20T23:00:00Z,7.4,7.4
2026-01-21T00:00:00Z,5.8,5.8
2026-01-21T01:00:00Z,3.5,3.5
2026-01-21T02:00:00Z,0,0
2026-01-21T03:00:00Z,0,0
2026-01-21T04:00:00Z,0,0
2026-01-21T05:00:00Z,0.1,0.1
2026-01-21T06:00:00Z,1,1
2026-01-21T07:00:00Z,0.4,0.4
2026-01-21T08:00:00Z,0,0
2026-01-21T09:00:00Z,0.1,0.1
2026-01-21T10:00:00Z,0,0
2026-01-21T11:00:00Z,0.5,0.5
2026-01-21T12:00:00Z,0.5,0.5
2026-01-21T13:00:00Z,0.1,0.1
2026-01-21T14:00:00Z,0.2,0.2
2026-01-21T15:00:00Z,0.3,0.3
2026-01-21T16:00:00Z,0.4,0.4
2026-01-21T17:00:00Z,0.7,0.7
2026-01-21T18:00:00Z,5.1,5.1
2026-01-21T19:00:00Z,8.1,8.1
2026-01-21T20:00:00Z,8.6,8.6
2026-01-21T21:00:00Z,8.8,8.8
2026-01-21T22:00:00Z,10,10
2026-01-21T23:00:00Z,10.4,10.4
2026-01-22T00:00:00Z,9.9,9.9
2026-01-22T01:00:00Z,7.6,7.6
2026-01-22T02:00:00Z,4.9,4.9
2026-01-22T03:00:00Z,2.9,2.9
2026-01-22T04:00:00Z,1.9,1.9
2026-01-22T05:00:00Z,1.3,1.3
2026-01-22T06:00:00Z,0.3,0.3
2026-01-22T07:00:00Z,2.5,2.5
2026-01-22T08:00:00Z,1.1,1.1
2026-01-22T09:00:00Z,0.4,0.4
2026-01-22T10:00:00Z,0.3,0.3
2026-01-22T11:00:00Z,1.2,1.2
2026-01-22T12:00:00Z,1.6,1.6
2026-01-22T13:00:00Z,0.8,0.8
2026-01-22T14:00:00Z,1,1
2026-01-22T15:00:00Z,1.7,1.7
2026-01-22T16:00:00Z,0.4,0.4
2026-01-22T17:00:00Z,5.8,5.8
2026-01-22T18:00:00Z,12.7,12.7
2026-01-22T19:00:00Z,14.6,14.6
2026-01-22T20:00:00Z,15.6,15.6
2026-01-22T21:00:00Z,14.8,14.8
2026-01-22T22:00:00Z,15.7,15.7
2026-01-22T23:00:00Z,16.2,16.2
2026-01-23T00:00:00Z,8,8
2026-01-23T01:00:00Z,1.8,1.8
2026-01-23T02:00:00Z,5.1,5.1
2026-01-23T03:00:00Z,6.8,6.8
2026-01-23T04:00:00Z,2,2
2026-01-23T05:00:00Z,2,2
2026-01-23T06:00:00Z,1.1,1.1
2026-01-23T07:00:00Z,0.7,0.7
2026-01-23T08:00:00Z,1.1,1.1
2026-01-23T09:00:00Z,1.2,1.2
2026-01-23T10:00:00Z,3.1,3.1
2026-01-23T11:00:00Z,1.8,1.8
2026-01-23T12:00:00Z,2,2
2026-01-23T13:00:00Z,3.6,3.6
2026-01-23T14:00:00Z,5.2,5.2
2026-01-23T15:00:00Z,6.6,6.6
2026-01-23T16:00:00Z,6.5,6.5
2026-01-23T17:00:00Z,18.9,19.3
2026-01-23T18:00:00Z,23.7,25.2
2026-01-23T19:00:00Z,14.1,14.3
2026-01-23T20:00:00Z,18.6,19
2026-01-23T21:00:00Z,23,24.4
2026-01-23T22:00:00Z,22.6,23.7
2026-01-23T23:00:00Z,17.8,17.8
2026-01-24T00:00:00Z,12.2,12.2
2026-01-24T01:00:00Z,10.2,10.2
2026-01-24T02:00:00Z,8.2,8.2
2026-01-24T03:00:00Z,12.2,12.2
2026-01-24T04:00:00Z,16.2,16.2
2026-01-24T05:00:00Z,16.9,16.9
2026-01-24T06:00:00Z,14.2,14.2
2026-01-24T07:00:00Z,14.3,14.3
2026-01-24T08:00:00Z,17.6,17.6
2026-01-24T09:00:00Z,17.2,17.2
2026-01-24T10:00:00Z,8.5,8.5
2026-01-24T11:00:00Z,9.3,9.3
2026-01-24T12:00:00Z,9.4,9.4
2026-01-24T13:00:00Z,8.3,8.3
2026-01-24T14:00:00Z,9.3,9.3
2026-01-24T15:00:00Z,5.6,5.6
2026-01-24T16:00:00Z,4.3,4.3
2026-01-24T17:00:00Z,5.2,5.2
2026-01-24T18:00:00Z,10.6,10.6
2026-01-24T19:00:00Z,8.3,8.3
2026-01-24T20:00:00Z,5.2,5.2
2026-01-24T21:00:00Z,3.8,3.8
2026-01-24T22:00:00Z,4,4
2026-01-24T23:00:00Z,3.1,3.1
